Date,DB하이텍,KEC,SFA반도체,SK하이닉스,광전자,네패스,다믈멀티미디어,덕산하이메탈,동운아나텍,라닉스,럭스피아,루멘스,미코,바른전자,비보존 헬스케어,서울반도체,시그네틱스,신성이엔지,실리콘웍스,써니전자,아나패스,아이앤씨,아이케이세미콘,아진엑스텍,알에프세미,알파홀딩스,앤씨앤,어보브반도체,에스엘바이오닉스,에이디테크놀로지,에이티세미콘,엔시트론,엘디티,엘비세미콘,오디텍,우리이앤엘,윈팩,유양디앤유,이미지스,일진디스플,제주반도체,지니틱스,지스마트글로벌,코아시아,큐에스아이,크로바하이텍,클라우드에어,테라셈,텔레칩스,티엘아이,파커스,피델릭스,하나마이크론,하나머티리얼즈,한양디지텍,현대에너지솔루션
2020-01-02,27900,1060,4325,94700,2155,24850,4705,7670,6821,7320,1000,3080,5800,1005,2060,16100,1155,954,39300,5000,30450,5290,4270,5146,5530,6970,2310,7210,2570,18526,743,1995,2895,8080,4930,1070,2100,9920,2785,3359,4325,2900,3340,6980,13650,2485,2135,3140,11350,4995,2795,1615,5510,18450,5980,16500
2020-01-03,27600,1060,4300,94500,2165,26700,4975,7730,6931,7220,990,3260,5700,1005,2530,16600,1150,956,39550,5660,31700,5210,4235,5307,5650,7210,2400,7160,2620,18618,742,2020,2865,8190,4935,1080,2090,9890,2795,3373,4365,2850,3430,6900,13900,2485,2155,3330,11050,5020,2770,1670,5460,18250,5980,16200
2020-01-06,28000,1020,4345,94300,2110,26800,4795,8010,6674,8850,990,3030,5600,1005,2475,16200,1140,934,40100,5660,31500,5180,4235,5563,5750,6970,2340,7120,2510,19168,750,1950,2800,8000,4785,1120,2065,9580,2760,3312,4350,2760,3220,6900,13950,2485,2045,2990,10900,5040,2740,1665,5510,18150,5850,15900
2020-01-07,28000,1035,4285,94000,2125,25750,4590,7940,6747,8980,995,2920,5550,1005,2270,16100,1160,945,42700,5350,31500,5000,4190,5765,5740,7040,2450,7120,2515,19168,790,1995,2790,7840,4810,1085,2030,9520,2750,3284,4515,2750,3180,6740,13750,2485,2070,2950,10950,5150,2785,1680,5640,18250,5830,17000
2020-01-08,28950,995,4180,97400,2050,24300,4435,7760,6729,8430,965,2870,5270,1005,2105,16000,1105,923,40200,5410,30200,4660,4190,5644,5470,6680,2275,7430,2320,17884,772,1910,2710,7940,4600,988,1990,8620,2665,3139,4320,2550,2410,6370,13350,2485,1985,2950,10500,5210,2715,1575,5830,18550,5730,17250
2020-01-09,29050,1040,4490,99000,2090,25000,4665,8000,6958,8730,995,2895,5530,1005,2220,16200,1185,967,42800,5690,31400,4865,4800,5812,5660,6830,2375,7640,2710,19535,826,1960,2760,8190,4800,1150,2170,9180,2750,3280,4450,2630,2310,6890,14550,2485,2140,2945,11100,5190,2755,1630,6110,19450,5950,19350
2020-01-10,28150,1055,4400,98900,2155,24500,4975,7880,7215,8980,1120,2695,5700,1005,2230,16100,1185,995,42450,6010,30550,4830,4965,5724,5720,7000,2360,7590,2710,20452,842,1990,2800,8060,4825,1190,2140,9350,2760,3312,4440,2680,2380,6860,14250,2485,2160,2190,11400,5070,2750,1660,6100,19100,5860,19500
2020-01-13,28800,1060,4435,100500,2165,25700,5060,7940,7068,9120,1100,2765,5760,1005,2380,16200,1180,1000,41600,5920,31100,4965,4945,5704,5780,7020,2470,7580,2710,19856,860,2010,2810,8350,4870,1300,2140,9990,2825,3331,4345,2750,2340,7390,14100,2485,2145,2110,11350,5100,2765,1680,6020,18500,5840,18700
2020-01-14,30150,1070,4500,100500,2150,25700,4955,8030,7114,9010,935,2550,5680,1005,2395,16500,1180,991,40750,6180,30750,5040,5620,5603,5790,6960,2495,7700,2710,22654,860,2010,2845,8420,4870,1300,2110,9740,2890,3312,4420,2730,2340,7450,14400,2485,2135,2105,11150,5120,2755,1660,6360,18300,5850,20000
2020-01-15,28800,1080,4495,98200,2230,25150,4830,7790,6931,9300,795,2570,5740,1005,2230,16050,1215,999,40550,6040,31050,5150,4780,5684,5770,7130,2515,7590,2710,24167,862,2015,2845,8440,4870,1425,2110,9730,3000,3561,4380,2875,2370,8230,14500,2485,2150,2025,11050,5110,2790,1665,6460,18150,5830,20500
2020-01-16,29100,1080,4605,99200,2235,26450,4815,7950,7059,8970,914,2535,5900,1005,2365,16000,1170,996,41150,5810,30900,5190,4500,5792,5810,7220,2520,7850,2710,25634,855,1985,2845,8500,4850,1380,2160,9590,3015,3964,4320,3030,2290,7910,15000,2485,2155,2000,11150,5110,2785,1725,6520,18500,5740,19900
2020-01-17,28450,1070,4685,99000,2235,25850,5100,7950,6940,8720,995,2560,5920,1005,2360,16000,1160,996,42000,6010,32900,5230,4395,5832,5730,7070,2430,7790,2710,25222,839,1990,2845,8690,4900,1300,2220,9810,3045,4161,4295,3245,2350,7910,15050,2485,2195,2000,11100,5110,2780,1715,6500,20200,5660,20100
2020-01-20,29000,1060,5390,99900,2195,26450,4150,7730,6830,8620,949,2530,5680,1005,2245,15500,1165,994,41300,5040,32900,5240,3740,5805,5750,7150,2390,7850,2710,25222,832,1955,2860,8620,4895,1270,2140,9630,3050,4245,4340,3310,2280,7520,14800,2485,2115,2005,11150,5010,2770,1635,6730,19650,5700,19700
2020-01-21,29100,1060,5490,99300,2150,25900,3965,8160,7050,8480,1070,2585,5430,1005,2145,15750,1130,979,39600,4825,32900,5270,3740,5664,5680,7000,2320,7720,2710,25680,820,1900,2880,8370,5030,1220,2140,10000,2995,4207,4200,3165,2220,7510,14650,2485,2060,2010,11150,5020,2745,1610,6730,19400,5690,19750
2020-01-22,31300,1075,5610,101000,2175,26650,4000,8340,7078,8680,1000,2810,5600,1005,2145,15650,1150,976,38750,4910,31600,5690,4085,5832,5710,7000,2350,8100,2710,28432,874,1940,2970,8470,5150,1265,2200,10120,3010,4760,4115,3335,2260,7760,15250,2485,2130,2015,11400,5200,2735,1640,6810,19500,5810,19450
2020-01-23,30300,1060,5860,98700,2175,26600,3920,8600,7518,8580,950,2790,5660,1005,2145,15350,1150,961,39300,4850,31600,5770,4085,5778,5720,6900,2350,8070,2710,28615,860,1940,2895,8330,5130,1255,2180,9820,3005,5126,4125,3410,2200,8190,16850,2485,2150,2020,11400,5220,2745,1640,6630,19500,5720,19200
2020-01-28,29800,1030,5870,96300,2085,25850,3905,8110,7123,8080,899,2575,5320,1005,2170,14950,1120,928,38050,4810,29900,5620,4085,5455,5510,6750,2210,7780,2710,29441,800,1930,2895,8000,5040,1170,2085,9270,2950,5322,4030,3200,2060,8200,17300,2485,2015,2000,10800,5120,2735,1575,6550,18900,5500,19200
2020-01-29,29350,1035,5850,97900,2110,25300,3840,8110,7555,8220,899,2755,5460,1005,2105,15000,1110,942,38650,4615,29650,5620,4085,5711,5600,7020,2310,7680,2710,28615,797,1930,3015,8120,5010,1180,2050,9370,2920,5379,4035,3320,2160,8610,17250,2485,1995,2000,11000,5060,2705,1580,6530,18700,5560,19200
2020-01-30,28850,1005,6210,94000,2060,25200,3695,8180,7601,7910,765,2570,6850,1005,2050,14800,1055,923,37150,4535,28500,5370,4085,5415,5370,6730,2285,7470,2710,26873,777,1885,2955,7840,4850,1190,1920,8580,2880,5276,3810,3100,2090,7950,17250,2485,1900,2000,10750,5010,2700,1535,6650,18000,5360,18250
2020-01-31,27350,997,5630,93500,2050,23700,3670,7830,7647,7510,878,2415,6440,1005,1940,14400,1045,889,37100,4415,27600,5180,4695,5361,5100,6600,2275,7190,2575,25451,769,1835,2865,7840,4680,1090,1870,8140,2925,5472,3700,2840,2000,7950,17550,2485,1885,1985,10600,4950,2700,1510,6120,17750,5320,18550
2020-02-03,28800,982,6030,94700,2000,23650,3875,8020,8179,7690,940,2480,5640,1005,2060,14500,1030,871,37350,4600,27900,5230,5390,5428,5100,6420,2370,7310,2985,27331,777,1800,2875,8080,4670,1160,1950,8190,3020,5341,3850,2945,1960,7940,17350,2485,1890,1930,10750,4900,2670,1470,6280,17800,5260,18400
2020-02-04,29150,1020,5990,97100,2055,25000,3970,8250,8372,8210,799,2525,5790,1005,1975,14900,1070,890,38800,4715,28500,5390,4590,5536,5390,6590,2450,8300,2830,27652,800,1810,2975,8230,4810,1180,2035,8470,3040,5332,3990,3040,2000,7920,17250,2485,2045,1940,11150,4990,2700,1495,6360,17900,5400,17850
2020-02-05,28300,1030,5930,97700,2055,25000,4060,8000,8243,8300,849,2485,5920,1005,1940,15450,1075,914,38700,4625,28800,5210,4500,5462,5440,6980,2415,9030,2800,26552,800,1820,2900,8250,4830,1170,1995,8370,2980,5744,3940,3000,1990,7940,16950,2485,2050,1940,11250,4945,2700,1530,6190,17500,5380,18100
2020-02-06,28800,1040,6140,100500,2090,25150,3995,8150,8179,8470,849,2550,6140,1005,1970,15400,1085,967,38600,4670,28650,5230,3825,5482,5430,7070,2415,9240,2840,27194,807,1840,2940,8480,4870,1180,2015,8630,3030,5210,4005,3205,2020,8100,18500,2485,2010,1905,11300,4945,2690,1540,6630,17750,5200,22450
2020-02-07,28300,1060,6090,99300,2060,24850,3990,8130,8005,8510,936,2515,6890,1005,1925,15300,1070,980,37450,4765,28000,5150,3825,5348,5460,7010,2365,9540,3000,26001,803,1825,2900,8360,4870,1215,2000,8570,3020,5201,3980,3215,1980,8150,18300,2485,2010,1905,11150,4955,2690,1525,6420,17300,5200,21650
2020-02-10,29050,1070,6110,98800,2070,25100,3830,8000,7683,8810,935,2530,6660,1005,1870,15250,1060,970,38150,4505,28000,5130,3825,5146,5400,6890,2490,9450,3240,24947,787,1825,2925,8350,5010,1215,1990,8450,3000,4901,3990,3195,1930,7730,18250,2485,1980,1835,11200,4950,2640,1535,6240,17450,5070,22100
2020-02-11,28000,1100,6340,99800,2090,25200,3900,7930,7885,9120,1050,2645,6850,1005,1850,15400,1090,992,38400,4530,28150,5350,3930,5206,5510,6850,2945,9700,3345,23938,795,1760,2950,8330,5170,1200,2010,8480,3040,4929,3980,3045,1890,7440,18800,2485,1970,1850,11250,4930,2670,1545,6200,17300,5090,22850
2020-02-12,28700,1100,6150,100000,2115,26650,3945,8110,7674,9160,895,2670,6430,1005,1865,15550,1090,982,38500,4465,29700,5240,3930,5267,5660,6830,3000,9540,3350,24121,800,1850,2895,8620,5120,1200,2090,8410,3030,4681,4020,3175,1920,7270,19950,2485,2010,2020,10250,4915,2680,1565,6670,17650,5230,21700
2020-02-13,29850,1085,6200,102000,2120,26500,3975,8180,7261,8800,765,2750,6340,1005,1810,17500,1095,973,38500,4475,29800,5190,3925,5422,6510,6790,2725,9310,3355,25176,793,1850,3020,8590,5100,1205,2035,8280,3055,4451,3990,3115,1940,7500,19600,2485,1975,2060,10050,4910,2680,1560,6530,19150,5220,20800
2020-02-14,30150,1100,6100,104500,2110,27950,3995,8240,7362,9170,869,2855,6780,1005,1820,18800,1120,970,38300,4530,30750,5280,3925,5422,6190,6690,2755,9610,3370,25680,780,1790,3120,9230,5230,1150,2075,8340,3050,4788,4015,3285,1940,7880,21700,2485,2020,2055,10100,4910,2685,1540,6640,20000,5330,20700
2020-02-17,29850,1065,6280,105000,2090,28500,3760,8420,7775,9140,850,2860,6550,1005,1820,18950,1115,960,38900,4500,31700,5230,3925,5684,6180,6640,2920,9890,3405,25864,762,1785,3105,9230,5280,1145,2070,8130,3040,4592,4115,3260,1910,7840,23050,2485,2015,2030,10500,4895,2665,1550,6990,20200,5460,21700
2020-02-18,28700,1060,6050,102000,2045,28050,3755,8080,7619,8680,750,2770,6660,1005,1735,18950,1060,941,37600,4445,31550,4960,3920,5630,5980,6520,2740,9270,2700,25818,722,1810,3185,8790,5150,1130,2020,8280,3080,4371,3905,3140,1830,8000,22550,2485,1955,1960,10400,4860,2650,1550,6680,19650,5330,21750
2020-02-19,28700,1045,6110,103500,2065,31250,3780,8140,7463,8600,708,2680,6930,1005,1790,18200,1045,931,37500,4445,31500,4965,3920,5610,5910,6400,2690,9580,2720,29349,713,1845,3225,8920,5230,1115,2020,8040,3035,4414,3985,3085,1810,8700,21850,2485,1935,2045,10350,4855,2650,1540,6930,19600,5250,23150
2020-02-20,28550,1015,6120,104000,2050,31300,3700,8120,7270,8670,814,2595,6550,1005,1745,18100,1020,964,37800,4350,32050,4800,3895,5536,5890,6270,2695,9650,2200,30174,676,1890,3200,8730,5120,1135,2105,8180,3075,4512,3910,3070,1810,8880,20950,2485,1845,2000,10350,4855,2650,1520,6930,19300,5250,25950
2020-02-21,27800,1015,6210,103000,2030,30900,3530,7980,7298,8210,720,2515,6440,1005,1715,17850,1010,940,36950,4200,30850,4685,3895,5341,5810,6190,2575,9270,2060,28982,639,1895,3030,8340,5010,1060,2200,7700,3025,4104,3700,3000,1700,8420,20450,2485,1795,1970,10200,4810,2650,1495,6690,18250,5130,26900
2020-02-24,27000,956,5850,99500,1950,30550,3365,7550,6848,7930,819,2360,6290,1005,1710,16950,937,907,35100,4055,29200,4380,4450,5146,5520,5830,2375,9240,1630,26781,603,1770,2880,7820,4685,999,2180,5390,2930,3992,3280,2855,1600,7750,20400,2485,1680,1925,9390,4710,2600,1450,6270,17500,4780,26400
2020-02-25,27750,980,6120,98000,1960,31650,3400,7720,7004,8280,819,2400,6390,1005,1770,17200,964,912,34400,4240,29400,4445,4440,4957,5680,6270,2425,9480,1745,28523,629,1790,2955,8050,4800,1050,2345,3780,2980,4151,3315,2990,1740,8130,20250,2485,1735,1940,9560,4770,2630,1430,6620,17800,5030,28000
2020-02-26,27300,960,5950,94600,1960,31350,3330,7550,6563,8110,813,2255,6840,1005,1725,17050,970,907,34900,4165,28800,4325,4435,4897,5530,6350,2310,9320,1695,28707,617,1840,2905,7810,4685,1055,2345,3980,2955,4151,3305,2985,1790,7880,20250,2485,1715,1930,9390,4850,2615,1395,6420,17350,4890,29600
2020-02-27,25700,915,5650,92800,1930,29750,3185,7110,6013,7980,910,2070,8350,1005,1665,15850,935,896,34700,3920,27400,4200,3770,4735,5310,6100,2235,8800,1610,26322,607,1835,2830,7250,4480,1050,2240,3350,2910,3903,3100,2880,1690,7580,14200,2485,1620,1940,9090,4860,2585,1370,6050,16350,4800,26800
2020-02-28,23800,853,5580,87900,1805,29200,2850,6780,5609,7510,1025,2020,7680,1005,1645,14950,853,859,32950,3750,25500,3915,3770,4527,5000,5720,2085,8300,1480,24580,601,1780,2685,6880,4195,994,2080,3470,2640,3701,2925,2650,1590,7250,14300,2485,1575,1920,8280,4645,2475,1245,5780,16000,4635,26200
2020-03-02,25650,889,5760,92100,1890,31300,3120,6910,5820,7610,875,2130,7740,1005,1660,15900,897,865,33800,4030,26200,4110,4335,4655,5080,5730,2145,8500,1570,25955,619,1800,2635,7330,4210,1025,2130,3900,2650,3973,3005,2820,1630,7470,17150,2485,1575,2010,8510,4795,2520,1280,6290,16900,4650,26950
2020-03-03,25200,885,5600,92800,1900,30550,3110,6810,5774,7600,971,2080,7330,1005,1740,15300,914,881,34450,4150,26650,4160,4955,4688,5200,6040,2170,8300,1635,25910,605,1795,2670,7460,4280,1000,2130,4210,2645,3903,3060,2865,1670,7360,15850,2485,1580,2025,8910,4780,2585,1300,6230,16800,4795,26800
2020-03-04,25800,908,5870,94300,1940,33450,3250,7020,5976,8640,992,2200,7250,1005,1760,16100,935,909,35250,4250,27600,4145,4285,4796,5400,6400,2365,8830,1625,28340,622,1795,2705,7770,4345,1060,2150,4450,2650,4114,3185,2960,1710,7830,17000,2485,1595,2095,9280,4845,2660,1330,6520,17650,4925,27800
2020-03-05,25650,918,5940,94900,1960,35850,3400,7050,5994,8560,845,2205,7200,1005,1770,16100,953,918,35800,4260,28450,4150,3695,4930,5450,6400,2365,8810,1585,31642,640,1775,2665,8110,5300,1045,2145,4260,2730,4048,3265,2980,1720,7850,18250,2485,1645,2090,9530,4840,2670,1350,6740,18000,4970,28000
2020-03-06,25300,910,5780,92600,1945,37050,3315,6890,5756,8300,935,2140,7740,1005,1700,15400,934,907,35500,4125,27150,4030,4235,4735,5280,6310,2320,8850,1545,31688,610,1760,2680,7950,4560,1025,2050,4190,2725,3931,3220,2925,1690,7830,19100,2485,1570,2210,9470,4940,2575,1325,6510,17700,5030,26950
2020-03-09,23850,857,5430,86900,1820,36000,3115,6480,5278,7660,795,1980,9180,1005,1550,14350,874,866,33700,3850,26150,3770,3600,4493,4905,5900,2210,8430,1470,28386,595,1605,2675,7340,4285,973,1870,3840,2610,3664,3040,2750,1540,7440,16350,2485,1380,2465,9290,4850,2515,1280,6090,16550,4895,21900
2020-03-10,24700,845,5590,89100,1825,36150,3235,6510,5480,8500,795,1995,8050,1005,1590,14850,857,869,34600,3940,25800,3885,3600,4534,4905,5890,2330,8960,1470,28753,592,1825,2690,7610,4235,983,1950,4180,2570,3687,3150,2765,1500,7330,16050,2485,1415,2620,9260,4830,2510,1260,6400,16800,4710,23100
2020-03-11,22950,814,5190,85500,1725,34050,3080,6190,4856,7920,913,1875,9320,1005,1510,14250,803,844,34050,3740,24000,3725,3600,4258,4680,5740,2350,8300,1400,26460,577,1875,2660,7100,4100,933,1800,3950,2590,3476,3060,2650,1450,6740,15200,2485,1325,3140,8910,4725,2475,1195,6060,16200,4520,21750
2020-03-12,22150,747,5180,82800,1615,34850,2850,5550,4480,7160,887,1715,9000,1005,1500,13150,730,770,31850,3470,19700,3500,3600,3807,4210,5370,2155,7590,1270,25589,543,1860,2465,6650,3800,865,1665,3690,2370,3163,2830,2450,1320,6300,13900,2485,1175,2650,8280,4530,2150,1065,5660,14700,4125,22800
2020-03-13,20950,663,4755,82500,1525,35100,2450,4960,4090,6390,848,1550,7500,1005,1430,12700,652,690,30950,3040,16000,3085,3595,3360,3605,4655,2050,7000,969,24442,515,1765,2340,5920,3420,792,1600,3650,2070,2825,2620,2070,1170,5700,10650,2485,957,2645,7530,4140,1995,950,5230,13800,3605,22400
2020-03-16,18950,624,4385,80600,1425,29900,2480,4750,3718,5740,844,1490,7600,1005,1340,12000,600,683,29350,3095,14300,2905,3595,3101,3490,4350,1945,6150,970,21094,501,1740,2105,5460,3200,732,1455,3500,2025,2642,2580,1910,1180,5140,10100,2485,985,2570,6890,4000,1920,950,4500,12700,3480,19650
2020-03-17,18800,627,4570,80400,1380,31000,2435,4740,3621,6440,718,1435,7650,1005,1210,12100,565,675,31250,3120,13900,2995,3595,3161,3455,4305,1840,6210,895,21691,500,1600,2020,5790,3050,723,1450,3720,1910,2614,2650,1835,1150,5140,10600,2485,1045,2540,6760,4000,1880,950,4420,12800,3500,20150
2020-03-18,16550,610,4300,73100,1320,29050,2210,4400,3282,5910,639,1335,7940,1005,1095,11100,528,670,27000,2800,11650,2800,3700,3175,3210,4095,1660,5750,870,21003,465,1415,1920,5160,2895,690,1320,3480,1855,2343,2650,1650,1080,4990,10150,2485,1125,2500,6100,4020,1890,954,3710,11550,3240,18000
2020-03-19,15000,513,3905,69000,1130,28800,1810,3200,2754,5040,570,1060,7160,1005,880,10150,410,575,24000,2205,9280,2360,4000,2482,2900,4000,1250,4900,629,18435,398,995,1665,4280,2425,532,1120,2440,1425,1851,2130,1210,800,4200,8590,2485,1265,2400,4670,3330,1350,839,3190,10100,2735,14300
2020-03-20,17300,541,4195,74800,1195,30600,1955,4155,2924,5620,572,1120,7300,1005,1010,10800,525,610,28400,2365,11150,2450,3995,2737,2975,4090,1365,5650,641,20269,412,1055,2130,4830,2580,590,1260,2440,1450,1987,2335,1400,830,4490,9550,2485,1275,2690,5160,3300,1490,852,3535,11500,3100,16100
2020-03-23,17750,481,3895,69400,1155,27600,1800,3975,2644,5290,500,1010,6440,1005,940,10000,465,563,25150,2180,10850,2275,3400,2620,2650,3725,1225,5060,515,17884,389,750,1860,4400,2405,531,1145,2440,1175,1771,2200,1280,620,3555,8850,2485,1120,2700,4900,3215,1345,776,3125,10350,3085,15300
2020-03-24,20600,513,4340,78700,1265,30250,1910,4280,3029,5670,460,1190,6700,1005,1005,11150,501,608,28250,2505,14100,2430,3400,2855,2775,4260,1290,5670,491,20544,437,965,1980,5020,2615,552,1345,2440,1235,1893,2415,1480,620,2820,9600,2485,1155,2800,5450,3380,1420,801,3415,12150,3350,16900
2020-03-25,21250,560,4470,84500,1390,30350,1990,4365,3341,5800,432,1500,8140,1005,1070,11700,522,684,28200,2630,16450,2710,3500,3161,2905,4310,1420,5980,521,21691,488,950,2170,5400,2795,580,1450,2440,1430,2118,2560,1680,620,3665,10100,2485,1250,2790,5900,3595,1540,829,3725,12950,3575,19300
2020-03-26,20550,598,4475,80700,1400,29400,2025,4390,3488,5820,496,1515,9640,1005,1110,11750,549,741,27300,2795,15650,2785,4020,3228,3210,4390,1480,6030,677,21507,500,1235,2250,5380,2900,630,1430,2440,1500,2305,2630,1740,620,4760,10500,2485,1245,2785,6000,3845,1600,931,3970,13150,3765,18150
2020-03-27,21050,590,4400,83300,1450,29000,2065,4575,3594,5690,570,1425,12500,1005,1115,11700,555,855,27500,2830,15350,2810,4610,3134,3330,4280,1480,6040,880,21232,498,1590,2165,5500,2985,647,1430,2440,1545,2277,2590,1750,620,4690,10550,2485,1205,2800,6150,4090,1605,930,4030,13500,3760,18000
2020-03-30,21050,612,4570,83700,1460,29350,2600,4820,3667,5980,654,1400,12500,1005,1160,11700,581,883,27000,3440,15750,2790,3920,3286,3440,4420,1500,6220,1010,21140,499,1555,2030,5610,3185,839,1450,2440,1785,2240,2670,1815,620,5320,10500,2485,1370,2790,6480,4170,1655,910,4030,13850,3855,19250
